,시도,주차장명,주차장유형,주소,위도,경도,관리기관,전화번호,특이사항,2_14(수),2_15(목),2_16(금),2_17(토),2_18(일)
64,강원도,봉산동 간이주차장,노외,강원도 원주시 봉산동 1144-4,37.34582565,127.9589395,강원도 원주시청,033-737-3543,,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
65,강원도,관설동 유휴지주차장,노외,강원도 원주시 관설동 1452-4,37.31818923,127.9667277,강원도 원주시청,033-737-3543,,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
66,강원도,태장2동 공영주차장,노외,강원도 원주시 태장동 산56-2,37.3801043,127.9499385,강원도 원주시청,033-737-3543,,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
67,강원도,태장2동 간이주차장,노외,강원도 원주시 태장동 2682,37.38281081,127.9455953,강원도 원주시청,033-737-3543,,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
68,강원도,관설동 간이주차장,노외,강원도 원주시 관설동 1745-4,37.31884907,127.9620383,강원도 원주시청,033-737-3543,,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
69,강원도,서곡8리 공영주차장,노외,강원도 원주시 판부면 서곡리 2026-6,37.32047185,127.941461,강원도 원주시청,033-737-3543,,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
70,강원도,김윤기 가옥 근처 주차장1,노외,강원도 강릉시 노암동 302-7,37.7472512,128.9002964,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
71,강원도,김윤기 가옥 근처 주차장2,노외,강원도 강릉시 노암동 302-4,37.747556,128.902552,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
72,강원도,김윤기 가옥 근처 주차장3,노외,"강원도 강릉시 노암동 402-37, 402-36",37.7469208,128.9009653,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
73,강원도,노암동 시영주택주차장,노외,강원도 강릉시 노암동 324-67,37.7499446,128.8981391,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
74,강원도,시영주택입구 주차장,노외,강원도 강릉시 노암동 279-18,37.7500222,128.8977692,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
75,강원도,은마 연립주택 근처 주차장,노외,"강원도 강릉시 노암동 699-9, 699-14",37.7467688,128.8955112,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
76,강원도,정동진역 공영주차장,노외,강원도 강릉시 정동진리 259-1,37.6892845,129.0328378,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
77,강원도,바다부채길  주차장,노외,강원도 강릉시 심곡리 69-5,37.663799,129.045679,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
78,강원도,바다부채길 주차장,노외,강원도 강릉시 심곡리,37.663799,129.045679,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
79,강원도,7번국도 저탄장 주차장,노외,강원도 강릉시 강동면 정동진리 440-29,37.696535,129.025622,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
80,강원도,심곡 바다부채길 주차장,노외,강원도 강릉시 정동진리 50-33,37.682024,129.040685,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
81,강원도,심곡 바다부채길 주차장,노외,강원도 강릉시 정동진리 51-4,37.6809943,129.0394793,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
82,강원도,심곡 바다부채길 주차장,노외,강원도 강릉시 정동진리 51-22,37.680733,129.041837,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
83,강원도,심곡 바다부채길 주차장,노외,강원도 강릉시 정동진리 52-11,37.680116,129.042103,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
84,강원도,3.1 기념탑 주차장,노외,강원도 강릉시 저동 144-3외,37.791968,128.896171,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
85,강원도,전적비 주차장,노외,강원도 강릉시 안현동 94-145,37.8032844,128.9025131,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
86,강원도,경포 번영회 주차장,노외,강원도 강릉시 안현동 868-4,37.802065,128.901306,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
87,강원도,경포대광장 주차장(충혼탑),노외,강원도 강릉시 저동 126-1,37.795805,128.896858,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
88,강원도,선교장 노외주차장,노외,강원도 강릉시 운정동 472-18,37.784995,128.884631,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
89,강원도,오죽헌박물관 뒷편 주차장,노외,강원도 강릉시 죽헌동 179-1,37.778914,128.876048,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
90,강원도,종합운동장 주차장,노외,강원도 강릉시 교동 2-10,37.773225,128.895134,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
91,강원도,강릉 식자재마트 근처 주차장,노외,강원도 강릉시 교동 1899-3,37.763004,128.873445,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
92,강원도,강릉실내종합체육관 주차장,노외,강원도 강릉시 교동 2-21,37.772128,128.893627,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
93,강원도,강릉인라인스케이팅장 주차장,노외,강원도 강릉시 교동 377,37.772801,128.893726,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
94,강원도,관동교회 근처주차장,노외,강원도 강릉시 교동 987-7,37.756005,128.885921,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
95,강원도,관동중 맞은편,노외,강원도 강릉시 교동 1740-3,37.755724,128.881944,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
96,강원도,관동중 앞,노외,강원도 강릉시 교동 1429-6,37.7561135,128.8782814,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
97,강원도,교동택지 공영 주차장,노외,강원도 강릉시 교동 1878-1,37.766149,128.877202,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
98,강원도,구 터미널주차장,노외,강원도 강릉시 교동 156-35,37.760828,128.897605,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
99,강원도,기쁨교회부지 컬링경기장,노외,강원도 강릉시 교동 622,37.775128,128.891157,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
100,강원도,임당사거리 근처 주차장,노외,강원도 강릉시 교동 156-35외 3필지,37.760828,128.897605,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
101,강원도,코레일네트웍스㈜강릉역주차장,노외,강원도 강릉시 교동 118,37.763604,128.898937,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
102,강원도,내곡교사거리 근처 주차장,노외,강원도 강릉시 내곡동 51-15,37.746199,128.886201,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
103,강원도,내곡동 현대A 앞 둔치주차장,노외,강원도 강릉시 내곡동 31,37.748273,128.891116,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
104,강원도,도시계획도로 임시 주차장1,노외,강원도 강릉시 내곡동 67-3,37.746424,128.8869094,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
105,강원도,도시계획도로 임시 주차장2,노외,강원도 강릉시 내곡동 51-48,37.746447,128.888988,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
106,강원도,무지개아파트 근처 주차장,노외,강원도 강릉시 내곡동 71-3,37.746259,128.890603,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
107,강원도,폴리텍III대학 입구,노외,강원도 강릉시 내곡동 산 104,37.737071,128.888773,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
108,강원도,사천항 공영주차장,노외,강원도 강릉시 사천면 사천진리 86-141,37.834811,128.874952,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
109,강원도,사천면 공영주차장,노외,강원도 강릉시 사천진리 86-185 체육공원 뒤편,37.836703,128.873317,강릉시청 교통과,033-640-5217,무료개방,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
